device_id,account_id,customer_id,model,model_name,device_type,serial_number,install_date,status,firmware_version
DVC000001,ACCT000001,CUST000001,DEV_MODEM_STD,TelcoConnect Modem,modem,SNB7FCAE24C7,2024-07-29,active,4.1.0
DVC000002,ACCT000002,CUST000002,DEV_MODEM_STD,TelcoConnect Modem,modem,SN130ECE1285,2025-05-26,active,4.0.1
DVC000003,ACCT000003,CUST000003,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SNA1AC810872,2026-06-20,active,4.0.1
DVC000004,ACCT000004,CUST000004,DEV_MODEM_STD,TelcoConnect Modem,modem,SNA3E7D9212A,2021-10-19,active,3.4.1
DVC000005,ACCT000005,CUST000005,DEV_MODEM_STD,TelcoConnect Modem,modem,SNFDBE74808B,2026-05-26,active,4.0.1
DVC000006,ACCT000006,CUST000006,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN7167E14C7B,2017-10-07,active,4.1.0
DVC000007,ACCT000007,CUST000007,DEV_MODEM_STD,TelcoConnect Modem,modem,SN208A996E2E,2026-05-05,active,3.4.2
DVC000008,ACCT000008,CUST000008,DEV_MODEM_STD,TelcoConnect Modem,modem,SNFB073A07F1,2025-01-08,active,4.0.1
DVC000009,ACCT000009,CUST000009,DEV_MODEM_STD,TelcoConnect Modem,modem,SN6575B8C8A8,2025-10-15,active,3.4.1
DVC000010,ACCT000010,CUST000010,DEV_MODEM_STD,TelcoConnect Modem,modem,SN88CA47EE90,2023-09-12,active,3.4.1
DVC000011,ACCT000011,CUST000011,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN04D42EAE42,2026-06-17,active,3.5.0
DVC000012,ACCT000012,CUST000012,DEV_MODEM_STD,TelcoConnect Modem,modem,SN7A6B929D4E,2024-05-04,active,4.0.1
DVC000013,ACCT000013,CUST000013,DEV_MODEM_STD,TelcoConnect Modem,modem,SNBD5C1ADF27,2024-10-30,active,4.0.1
DVC000014,ACCT000014,CUST000014,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN775896197B,2026-03-11,active,3.5.0
