contact_id,customer_id,channel,reason,contact_ts,handoff_to_agent,handled_by,duration_min
CON000001,CUST000001,ivr,billing_question,2026-04-27 05:09,False,self-service,8
CON000002,CUST000001,web,outage_report,2026-05-26 05:59,False,self-service,12
CON000003,CUST000002,ivr,new_service,2026-03-25 18:12,False,self-service,1
CON000004,CUST000002,web,billing_question,2026-04-14 11:03,False,self-service,10
CON000005,CUST000003,web,plan_change,2026-03-15 16:28,True,agent,5
CON000006,CUST000003,web,cancel_request,2026-05-06 23:08,False,self-service,9
CON000007,CUST000004,agent,plan_change,2026-06-14 02:20,False,agent,7
CON000008,CUST000004,agent,cancel_request,2026-03-02 21:09,False,agent,1
CON000009,CUST000004,web,plan_change,2026-03-09 22:18,False,self-service,12
CON000010,CUST000008,chat,plan_change,2026-03-19 14:12,False,self-service,8
CON000011,CUST000008,chat,billing_question,2026-05-02 00:59,True,agent,13
CON000012,CUST000009,agent,technical_support,2026-04-03 06:49,False,agent,4
CON000013,CUST000009,agent,plan_change,2026-04-27 23:52,False,agent,10
CON000014,CUST000009,agent,billing_question,2026-04-26 16:31,False,agent,6
CON000015,CUST000009,web,billing_question,2026-03-08 03:20,True,agent,4
CON000016,CUST000009,web,plan_change,2026-04-23 19:42,False,self-service,7
CON000017,CUST000011,web,billing_question,2026-05-25 20:12,False,self-service,4
CON000018,CUST000011,agent,new_service,2026-03-04 16:55,False,agent,1
CON000019,CUST000012,ivr,technical_support,2026-06-24 10:56,False,self-service,4
CON000020,CUST000012,web,billing_question,2026-06-10 00:24,False,self-service,1
CON000021,CUST000012,chat,billing_question,2026-06-13 10:12,True,agent,14
CON000022,CUST000012,chat,billing_question,2026-06-03 23:52,False,self-service,2
CON000023,CUST000012,agent,plan_change,2026-06-20 23:13,False,agent,5
CON000024,CUST000012,chat,plan_change,2026-03-15 02:50,False,self-service,7
CON000025,CUST000013,web,technical_support,2026-06-23 08:28,False,self-service,4
CON000026,CUST000014,web,cancel_request,2026-03-24 05:08,False,self-service,11
CON000027,CUST000015,chat,outage_report,2026-06-07 19:26,False,self-service,10
CON000028,CUST000015,agent,new_service,2026-03-09 12:46,False,agent,11
CON000029,CUST000015,chat,billing_question,2026-05-08 02:20,False,self-service,8
CON000030,CUST000016,agent,technical_support,2026-04-03 18:55,False,agent,3
CON000031,CUST000016,ivr,billing_question,2026-04-12 00:22,False,self-service,11
CON000032,CUST000016,ivr,plan_change,2026-06-16 05:53,False,self-service,6
CON000033,CUST000017,ivr,technical_support,2026-03-19 08:22,False,self-service,7
CON000034,CUST000018,ivr,general_inquiry,2026-04-17 05:02,False,self-service,1
CON000035,CUST000019,agent,billing_question,2026-06-21 14:10,False,agent,1
CON000036,CUST000019,web,new_service,2026-04-27 15:50,False,self-service,4
CON000037,CUST000020,ivr,outage_report,2026-05-24 15:23,False,self-service,1
CON000038,CUST000020,chat,billing_question,2026-06-26 03:01,False,self-service,9
CON000039,CUST000020,web,billing_question,2026-05-23 18:12,False,self-service,4
CON000040,CUST000022,ivr,new_service,2026-03-11 16:32,False,self-service,8
CON000041,CUST000024,ivr,technical_support,2026-04-30 12:15,False,self-service,8
CON000042,CUST000024,chat,technical_support,2026-03-26 02:43,True,agent,10
CON000043,CUST000024,ivr,technical_support,2026-03-24 01:50,False,self-service,4
CON000044,CUST000025,agent,billing_question,2026-04-02 22:12,False,agent,1
CON000045,CUST000025,agent,technical_support,2026-04-29 23:56,False,agent,6
