invoice_line_id,invoice_id,description,category,amount
INL00000001,INV0000001,PROD_INT monthly service,recurring,50.0
INL00000002,INV0000001,One-time activation fee,one-time,35.0
INL00000003,INV0000001,Partial month proration,one-time,18.96
INL00000004,INV0000002,PROD_INT monthly service,recurring,50.0
INL00000005,INV0000003,PROD_INT monthly service,recurring,50.0
INL00000006,INV0000003,Data usage overage,usage,38.19
INL00000007,INV0000003,Goodwill/service credit,credit,-11.77
INL00000008,INV0000004,PROD_INT monthly service,recurring,50.0
INL00000009,INV0000005,PROD_INT monthly service,recurring,50.0
INL00000010,INV0000006,PROD_INT monthly service,recurring,50.0
INL00000011,INV0000007,PROD_INT monthly service,recurring,50.0
INL00000012,INV0000008,PROD_INT monthly service,recurring,50.0
INL00000013,INV0000009,PROD_INT monthly service,recurring,50.0
INL00000014,INV0000010,PROD_INT monthly service,recurring,50.0
INL00000015,INV0000011,PROD_INT monthly service,recurring,50.0
INL00000016,INV0000012,PROD_INT monthly service,recurring,50.0
INL00000017,INV0000013,PROD_INT monthly service,recurring,70.0
INL00000018,INV0000013,One-time activation fee,one-time,35.0
INL00000019,INV0000013,Partial month proration,one-time,28.14
INL00000020,INV0000014,PROD_INT monthly service,recurring,70.0
INL00000021,INV0000015,PROD_INT monthly service,recurring,70.0
INL00000022,INV0000015,Goodwill/service credit,credit,-18.6
INL00000023,INV0000016,PROD_INT monthly service,recurring,70.0
INL00000024,INV0000017,PROD_INT monthly service,recurring,70.0
INL00000025,INV0000018,PROD_INT monthly service,recurring,70.0
INL00000026,INV0000018,Data usage overage,usage,22.84
INL00000027,INV0000019,PROD_INT monthly service,recurring,70.0
INL00000028,INV0000020,PROD_INT monthly service,recurring,70.0
INL00000029,INV0000021,PROD_INT monthly service,recurring,70.0
INL00000030,INV0000022,PROD_INT monthly service,recurring,70.0
INL00000031,INV0000023,PROD_INT monthly service,recurring,70.0
INL00000032,INV0000024,PROD_INT monthly service,recurring,70.0
INL00000033,INV0000024,Data usage overage,usage,33.63
INL00000034,INV0000025,PROD_INT monthly service,recurring,95.0
INL00000035,INV0000025,One-time activation fee,one-time,35.0
INL00000036,INV0000025,Partial month proration,one-time,26.55
INL00000037,INV0000026,PROD_INT monthly service,recurring,90.0
INL00000038,INV0000026,One-time activation fee,one-time,35.0
INL00000039,INV0000026,Partial month proration,one-time,33.84
INL00000040,INV0000026,Data usage overage,usage,18.11
INL00000041,INV0000027,PROD_INT monthly service,recurring,90.0
INL00000042,INV0000028,PROD_INT monthly service,recurring,90.0
INL00000043,INV0000029,PROD_INT monthly service,recurring,90.0
INL00000044,INV0000030,PROD_INT monthly service,recurring,90.0
INL00000045,INV0000031,PROD_INT monthly service,recurring,90.0
INL00000046,INV0000032,PROD_INT monthly service,recurring,90.0
INL00000047,INV0000033,PROD_INT monthly service,recurring,90.0
INL00000048,INV0000034,PROD_INT monthly service,recurring,90.0
INL00000049,INV0000035,PROD_INT monthly service,recurring,90.0
INL00000050,INV0000036,PROD_INT monthly service,recurring,90.0
INL00000051,INV0000037,PROD_INT monthly service,recurring,90.0
INL00000052,INV0000038,PROD_INT monthly service,recurring,70.0
INL00000053,INV0000038,One-time activation fee,one-time,35.0
INL00000054,INV0000038,Partial month proration,one-time,15.55
INL00000055,INV0000039,PROD_INT monthly service,recurring,95.0
INL00000056,INV0000039,One-time activation fee,one-time,35.0
INL00000057,INV0000039,Partial month proration,one-time,28.61
INL00000058,INV0000039,Data usage overage,usage,7.09
INL00000059,INV0000040,PROD_INT monthly service,recurring,95.0
INL00000060,INV0000040,Data usage overage,usage,27.44
INL00000061,INV0000041,PROD_INT monthly service,recurring,95.0
INL00000062,INV0000042,PROD_INT monthly service,recurring,95.0
INL00000063,INV0000043,PROD_INT monthly service,recurring,95.0
INL00000064,INV0000044,PROD_INT monthly service,recurring,95.0
INL00000065,INV0000045,PROD_INT monthly service,recurring,95.0
INL00000066,INV0000046,PROD_INT monthly service,recurring,95.0
INL00000067,INV0000047,PROD_INT monthly service,recurring,95.0
INL00000068,INV0000048,PROD_INT monthly service,recurring,95.0
INL00000069,INV0000049,PROD_INT monthly service,recurring,95.0
INL00000070,INV0000050,PROD_INT monthly service,recurring,95.0
INL00000071,INV0000050,Data usage overage,usage,24.5
INL00000072,INV0000051,PROD_INT monthly service,recurring,90.0
INL00000073,INV0000051,One-time activation fee,one-time,35.0
