account_id,metric_date,latency_ms,packet_loss_pct,uptime_pct
ACCT000001,2026-06-16,35.18,0.1,99.56
ACCT000001,2026-06-17,37.32,0.52,99.58
ACCT000001,2026-06-18,31.7,0.03,99.75
ACCT000001,2026-06-19,14.77,0.55,99.96
ACCT000001,2026-06-20,21.35,0.51,99.62
ACCT000001,2026-06-21,40.99,0.33,99.55
ACCT000001,2026-06-22,37.09,0.45,99.51
ACCT000001,2026-06-23,42.64,0.14,99.5
ACCT000001,2026-06-24,13.78,0.28,99.91
ACCT000001,2026-06-25,42.79,0.34,99.87
ACCT000001,2026-06-26,20.41,0.55,99.79
ACCT000001,2026-06-27,17.03,0.43,99.84
ACCT000001,2026-06-28,34.63,0.41,99.58
ACCT000001,2026-06-29,10.04,0.45,99.92
ACCT000002,2026-06-16,44.01,0.11,99.98
ACCT000002,2026-06-17,27.5,0.08,99.66
ACCT000002,2026-06-18,28.18,0.29,99.74
ACCT000002,2026-06-19,31.42,0.41,99.77
ACCT000002,2026-06-20,21.81,0.33,99.76
ACCT000002,2026-06-21,19.84,0.6,99.58
ACCT000002,2026-06-22,11.91,0.07,99.92
ACCT000002,2026-06-23,35.49,0.24,99.9
ACCT000002,2026-06-24,36.57,0.22,99.62
ACCT000002,2026-06-25,15.88,0.29,99.77
ACCT000002,2026-06-26,13.6,0.21,99.57
ACCT000002,2026-06-27,20.89,0.22,99.88
ACCT000002,2026-06-28,38.05,0.39,99.92
ACCT000002,2026-06-29,13.22,0.44,99.8
ACCT000003,2026-06-16,85.11,4.99,95.87
ACCT000003,2026-06-17,141.43,1.39,94.21
ACCT000003,2026-06-18,161.37,4.02,93.37
ACCT000003,2026-06-19,179.02,1.5,96.21
ACCT000003,2026-06-20,147.91,5.19,98.69
ACCT000003,2026-06-21,73.89,3.57,95.86
ACCT000003,2026-06-22,165.15,2.87,93.75
ACCT000003,2026-06-23,177.66,4.27,96.2
ACCT000003,2026-06-24,169.74,3.42,99.0
ACCT000003,2026-06-25,79.96,2.69,94.13
ACCT000003,2026-06-26,176.04,1.76,93.87
ACCT000003,2026-06-27,154.81,3.35,98.39
ACCT000003,2026-06-28,112.74,2.74,97.75
