subscription_id,account_id,product_id,plan_id,device_id,start_date,end_date,status,mrc
SUB000001,ACCT000001,PROD_INT,PLAN_INT_100,DEV_MODEM_STD,2024-07-22,,active,50.0
SUB000002,ACCT000002,PROD_INT,PLAN_INT_500,DEV_MODEM_STD,2025-05-23,,active,70.0
SUB000003,ACCT000003,PROD_INT,PLAN_INT_1G,DEV_ROUTER_MESH,2026-06-17,,active,95.0
SUB000004,ACCT000004,PROD_INT,PLAN_INT_1G,DEV_MODEM_STD,2021-10-10,,active,90.0
SUB000005,ACCT000004,PROD_MOB,PLAN_MOB_UNL,DEV_PHONE_B,2022-10-18,,active,67.0
SUB000006,ACCT000005,PROD_INT,PLAN_INT_500,DEV_MODEM_STD,2026-05-21,,active,70.0
SUB000007,ACCT000005,PROD_MOB,PLAN_MOB_UNL,DEV_NONE,2026-06-30,,active,55.0
SUB000008,ACCT000006,PROD_INT,PLAN_INT_1G,DEV_ROUTER_MESH,2017-09-28,,active,95.0
SUB000009,ACCT000007,PROD_INT,PLAN_INT_1G,DEV_MODEM_STD,2026-04-30,,active,90.0
SUB000010,ACCT000007,PROD_TV,PLAN_TV_STD,DEV_NONE,2026-06-30,,active,45.0
SUB000011,ACCT000008,PROD_INT,PLAN_INT_1G,DEV_MODEM_STD,2025-01-01,,active,90.0
SUB000012,ACCT000008,PROD_MOB,PLAN_MOB_10,DEV_PHONE_A,2025-01-31,,active,47.0
SUB000013,ACCT000008,PROD_TV,PLAN_TV_STD,DEV_NONE,2025-07-15,,active,45.0
SUB000014,ACCT000009,PROD_INT,PLAN_INT_500,DEV_MODEM_STD,2025-10-11,,active,70.0
SUB000015,ACCT000009,PROD_MOB,PLAN_MOB_UNL,DEV_NONE,2026-06-30,,active,55.0
SUB000016,ACCT000010,PROD_INT,PLAN_INT_100,DEV_MODEM_STD,2023-09-04,,active,50.0
SUB000017,ACCT000010,PROD_MOB,PLAN_MOB_UNL,DEV_PHONE_A,2024-02-18,,active,77.0
SUB000018,ACCT000011,PROD_INT,PLAN_INT_500,DEV_ROUTER_MESH,2026-06-10,,active,75.0
SUB000019,ACCT000012,PROD_INT,PLAN_INT_1G,DEV_MODEM_STD,2024-04-26,,active,90.0
SUB000020,ACCT000012,PROD_MOB,PLAN_MOB_UNL,DEV_NONE,2025-03-07,,active,55.0
SUB000021,ACCT000012,PROD_TV,PLAN_TV_STD,DEV_NONE,2024-06-05,,active,45.0
SUB000022,ACCT000013,PROD_INT,PLAN_INT_1G,DEV_MODEM_STD,2024-10-26,,active,90.0
SUB000023,ACCT000014,PROD_INT,PLAN_INT_500,DEV_ROUTER_MESH,2026-03-11,,active,75.0
SUB000024,ACCT000015,PROD_INT,PLAN_INT_100,DEV_MODEM_STD,2025-03-01,,active,50.0
SUB000025,ACCT000015,PROD_MOB,PLAN_MOB_UNL,DEV_PHONE_A,2025-09-14,,active,77.0
SUB000026,ACCT000016,PROD_INT,PLAN_INT_500,DEV_ROUTER_MESH,2024-10-17,2026-05-02,cancelled,75.0
SUB000027,ACCT000016,PROD_MOB,PLAN_MOB_40,DEV_PHONE_A,2025-09-20,2026-05-02,cancelled,62.0
SUB000028,ACCT000017,PROD_INT,PLAN_INT_1G,DEV_MODEM_STD,2025-10-28,,active,90.0
SUB000029,ACCT000017,PROD_TV,PLAN_TV_STD,DEV_NONE,2026-06-30,,active,45.0
SUB000030,ACCT000017,PROD_VOICE,PLAN_VOICE_STD,DEV_NONE,2025-11-07,,active,25.0
SUB000031,ACCT000018,PROD_INT,PLAN_INT_100,DEV_ROUTER_MESH,2024-02-01,,active,55.0
SUB000032,ACCT000018,PROD_TV,PLAN_TV_STD,DEV_NONE,2024-08-07,,active,45.0
SUB000033,ACCT000019,PROD_INT,PLAN_INT_500,DEV_MODEM_STD,2024-04-25,,active,70.0
SUB000034,ACCT000020,PROD_INT,PLAN_INT_1G,DEV_MODEM_STD,2025-01-12,,active,90.0
SUB000035,ACCT000020,PROD_TV,PLAN_TV_STD,DEV_NONE,2026-02-11,,active,45.0
SUB000036,ACCT000021,PROD_INT,PLAN_INT_500,DEV_MODEM_STD,2024-08-03,,active,70.0
SUB000037,ACCT000022,PROD_INT,PLAN_INT_100,DEV_MODEM_STD,2025-01-20,,active,50.0
SUB000038,ACCT000023,PROD_INT,PLAN_INT_500,DEV_MODEM_STD,2026-03-01,,active,70.0
SUB000039,ACCT000023,PROD_MOB,PLAN_MOB_10,DEV_PHONE_A,2026-06-30,,active,47.0
SUB000040,ACCT000023,PROD_VOICE,PLAN_VOICE_STD,DEV_NONE,2026-06-30,,active,25.0
SUB000041,ACCT000024,PROD_INT,PLAN_INT_1G,DEV_ROUTER_MESH,2023-10-12,,active,95.0
SUB000042,ACCT000024,PROD_VOICE,PLAN_VOICE_STD,DEV_NONE,2024-01-03,,active,25.0
SUB000043,ACCT000025,PROD_INT,PLAN_INT_1G,DEV_MODEM_STD,2024-02-20,,active,90.0
SUB000044,ACCT000025,PROD_MOB,PLAN_MOB_UNL,DEV_PHONE_A,2024-03-14,,active,77.0
SUB000045,ACCT000026,PROD_INT,PLAN_INT_1G,DEV_MODEM_STD,2025-12-12,,active,90.0
SUB000046,ACCT000027,PROD_INT,PLAN_INT_1G,DEV_MODEM_STD,2026-06-13,,active,90.0
SUB000047,ACCT000027,PROD_MOB,PLAN_MOB_UNL,DEV_PHONE_B,2026-06-30,,active,67.0
SUB000048,ACCT000028,PROD_INT,PLAN_INT_100,DEV_ROUTER_MESH,2023-11-26,,active,55.0
SUB000049,ACCT000029,PROD_INT,PLAN_INT_1G,DEV_MODEM_STD,2023-12-03,,active,90.0
SUB000050,ACCT000030,PROD_INT,PLAN_INT_100,DEV_MODEM_STD,2023-02-09,,active,50.0
SUB000051,ACCT000031,PROD_INT,PLAN_INT_500,DEV_MODEM_STD,2026-06-10,,active,70.0
SUB000052,ACCT000032,PROD_INT,PLAN_INT_2G,DEV_ROUTER_MESH,2026-06-15,,active,120.0
SUB000053,ACCT000032,PROD_MOB,PLAN_MOB_UNL,DEV_PHONE_A,2026-06-30,,active,77.0
SUB000054,ACCT000033,PROD_INT,PLAN_INT_1G,DEV_MODEM_STD,2023-02-24,2023-11-01,cancelled,90.0
SUB000055,ACCT000034,PROD_INT,PLAN_INT_1G,DEV_MODEM_STD,2026-06-11,,active,90.0
SUB000056,ACCT000034,PROD_MOB,PLAN_MOB_UNL,DEV_PHONE_B,2026-06-30,,active,67.0
SUB000057,ACCT000035,PROD_INT,PLAN_INT_1G,DEV_MODEM_STD,2024-02-03,,active,90.0
SUB000058,ACCT000035,PROD_MOB,PLAN_MOB_UNL,DEV_PHONE_B,2024-11-28,,active,67.0
SUB000059,ACCT000035,PROD_TV,PLAN_TV_STD,DEV_NONE,2024-11-14,,active,45.0
SUB000060,ACCT000036,PROD_INT,PLAN_INT_100,DEV_MODEM_STD,2022-10-04,,active,50.0
SUB000061,ACCT000037,PROD_INT,PLAN_INT_500,DEV_MODEM_STD,2025-07-14,,active,70.0
SUB000062,ACCT000037,PROD_MOB,PLAN_MOB_UNL,DEV_PHONE_A,2025-11-03,,active,77.0
SUB000063,ACCT000038,PROD_INT,PLAN_INT_1G,DEV_MODEM_STD,2026-05-24,,active,90.0
SUB000064,ACCT000038,PROD_MOB,PLAN_MOB_UNL,DEV_PHONE_A,2026-06-30,,active,77.0
SUB000065,ACCT000039,PROD_INT,PLAN_INT_500,DEV_MODEM_STD,2025-08-08,,active,70.0
SUB000066,ACCT000040,PROD_INT,PLAN_INT_100,DEV_ROUTER_MESH,2022-06-09,,active,55.0
SUB000067,ACCT000040,PROD_MOB,PLAN_MOB_40,DEV_PHONE_B,2022-06-21,,active,52.0
SUB000068,ACCT000041,PROD_INT,PLAN_INT_500,DEV_MODEM_STD,2025-09-15,2026-10-23,cancelled,70.0
SUB000069,ACCT000042,PROD_INT,PLAN_INT_2G,DEV_ROUTER_MESH,2022-07-25,,active,120.0
SUB000070,ACCT000042,PROD_MOB,PLAN_MOB_UNL,DEV_PHONE_B,2022-09-18,,active,67.0
SUB000071,ACCT000043,PROD_INT,PLAN_INT_500,DEV_MODEM_STD,2025-08-22,,active,70.0
SUB000072,ACCT000044,PROD_INT,PLAN_INT_500,DEV_MODEM_STD,2024-12-02,,active,70.0
SUB000073,ACCT000044,PROD_MOB,PLAN_MOB_40,DEV_PHONE_A,2025-07-26,,active,62.0
SUB000074,ACCT000045,PROD_INT,PLAN_INT_2G,DEV_ROUTER_MESH,2024-07-20,,active,120.0
SUB000075,ACCT000046,PROD_INT,PLAN_INT_1G,DEV_ROUTER_MESH,2025-10-03,2026-04-13,cancelled,95.0
SUB000076,ACCT000047,PROD_INT,PLAN_INT_500,DEV_ROUTER_MESH,2024-11-25,,active,75.0
SUB000077,ACCT000047,PROD_VOICE,PLAN_VOICE_STD,DEV_NONE,2025-09-09,,active,25.0
SUB000078,ACCT000048,PROD_INT,PLAN_INT_100,DEV_MODEM_STD,2026-02-03,,active,50.0
SUB000079,ACCT000049,PROD_INT,PLAN_INT_500,DEV_MODEM_STD,2026-06-11,,active,70.0
SUB000080,ACCT000050,PROD_INT,PLAN_INT_1G,DEV_MODEM_STD,2024-09-19,,active,90.0
SUB000081,ACCT000050,PROD_MOB,PLAN_MOB_40,DEV_PHONE_B,2025-06-15,,active,52.0
SUB000082,ACCT000051,PROD_INT,PLAN_INT_100,DEV_MODEM_STD,2026-05-17,,active,50.0
SUB000083,ACCT000052,PROD_INT,PLAN_INT_1G,DEV_ROUTER_MESH,2025-08-28,,active,95.0
SUB000084,ACCT000053,PROD_INT,PLAN_INT_500,DEV_MODEM_STD,2026-06-15,,active,70.0
