account_id,usage_date,gb_used
ACCT000001,2026-05-31,5.37
ACCT000001,2026-06-01,1.21
ACCT000001,2026-06-02,5.33
ACCT000001,2026-06-03,2.64
ACCT000001,2026-06-04,0.72
ACCT000001,2026-06-05,2.05
ACCT000001,2026-06-06,0.26
ACCT000001,2026-06-07,0.93
ACCT000001,2026-06-08,1.33
ACCT000001,2026-06-09,1.62
ACCT000001,2026-06-10,3.92
ACCT000001,2026-06-11,1.08
ACCT000001,2026-06-12,0.81
ACCT000001,2026-06-13,0.77
ACCT000001,2026-06-14,1.96
ACCT000001,2026-06-15,2.94
ACCT000001,2026-06-16,0.97
ACCT000001,2026-06-17,1.97
ACCT000001,2026-06-18,1.13
ACCT000001,2026-06-19,0.3
ACCT000001,2026-06-20,4.99
ACCT000001,2026-06-21,5.12
ACCT000001,2026-06-22,1.93
ACCT000001,2026-06-23,0.37
ACCT000001,2026-06-24,0.48
ACCT000001,2026-06-25,1.84
ACCT000001,2026-06-26,1.79
ACCT000001,2026-06-27,0.26
ACCT000001,2026-06-28,1.05
ACCT000001,2026-06-29,1.51
ACCT000002,2026-05-31,35.85
ACCT000002,2026-06-01,20.94
ACCT000002,2026-06-02,10.05
ACCT000002,2026-06-03,38.01
ACCT000002,2026-06-04,43.21
ACCT000002,2026-06-05,25.7
ACCT000002,2026-06-06,3.27
ACCT000002,2026-06-07,12.37
ACCT000002,2026-06-08,9.45
ACCT000002,2026-06-09,8.33
ACCT000002,2026-06-10,39.07
ACCT000002,2026-06-11,41.91
ACCT000002,2026-06-12,9.84
ACCT000002,2026-06-13,11.74
ACCT000002,2026-06-14,4.12
ACCT000002,2026-06-15,35.99
ACCT000002,2026-06-16,30.07
ACCT000002,2026-06-17,7.72
ACCT000002,2026-06-18,8.58
ACCT000002,2026-06-19,19.96
ACCT000002,2026-06-20,19.68
ACCT000002,2026-06-21,14.73
ACCT000002,2026-06-22,28.4
ACCT000002,2026-06-23,22.18
ACCT000002,2026-06-24,17.84
ACCT000002,2026-06-25,9.47
ACCT000002,2026-06-26,22.65
ACCT000002,2026-06-27,17.78
ACCT000002,2026-06-28,10.14
ACCT000002,2026-06-29,10.86
ACCT000003,2026-05-31,8.3
ACCT000003,2026-06-01,17.86
ACCT000003,2026-06-02,27.87
ACCT000003,2026-06-03,5.66
