account_id,usage_date,minutes_used
ACCT000001,2026-05-31,12
ACCT000001,2026-06-01,10
ACCT000001,2026-06-02,8
ACCT000001,2026-06-03,17
ACCT000001,2026-06-04,16
ACCT000001,2026-06-05,12
ACCT000001,2026-06-06,11
ACCT000001,2026-06-07,9
ACCT000001,2026-06-08,10
ACCT000001,2026-06-09,6
ACCT000001,2026-06-10,15
ACCT000001,2026-06-11,9
ACCT000001,2026-06-12,22
ACCT000001,2026-06-13,10
ACCT000001,2026-06-14,18
ACCT000001,2026-06-15,10
ACCT000001,2026-06-16,12
ACCT000001,2026-06-17,17
ACCT000001,2026-06-18,11
ACCT000001,2026-06-19,23
ACCT000001,2026-06-20,11
ACCT000001,2026-06-21,11
ACCT000001,2026-06-22,12
ACCT000001,2026-06-23,10
ACCT000001,2026-06-24,15
ACCT000001,2026-06-25,13
ACCT000001,2026-06-26,10
ACCT000001,2026-06-27,11
ACCT000001,2026-06-28,16
ACCT000001,2026-06-29,11
ACCT000002,2026-05-31,38
ACCT000002,2026-06-01,48
ACCT000002,2026-06-02,33
ACCT000002,2026-06-03,37
ACCT000002,2026-06-04,41
ACCT000002,2026-06-05,43
ACCT000002,2026-06-06,41
ACCT000002,2026-06-07,44
ACCT000002,2026-06-08,47
ACCT000002,2026-06-09,46
ACCT000002,2026-06-10,45
ACCT000002,2026-06-11,40
ACCT000002,2026-06-12,42
ACCT000002,2026-06-13,33
ACCT000002,2026-06-14,48
ACCT000002,2026-06-15,34
ACCT000002,2026-06-16,38
ACCT000002,2026-06-17,36
ACCT000002,2026-06-18,40
ACCT000002,2026-06-19,41
ACCT000002,2026-06-20,48
ACCT000002,2026-06-21,41
ACCT000002,2026-06-22,39
ACCT000002,2026-06-23,37
ACCT000002,2026-06-24,48
ACCT000002,2026-06-25,43
ACCT000002,2026-06-26,34
ACCT000002,2026-06-27,32
ACCT000002,2026-06-28,34
ACCT000002,2026-06-29,47
ACCT000003,2026-05-31,13
ACCT000003,2026-06-01,10
ACCT000003,2026-06-02,16
ACCT000003,2026-06-03,13
ACCT000003,2026-06-04,13
ACCT000003,2026-06-05,11
ACCT000003,2026-06-06,12
ACCT000003,2026-06-07,16
ACCT000003,2026-06-08,11
ACCT000003,2026-06-09,12
ACCT000003,2026-06-10,18
ACCT000003,2026-06-11,18
ACCT000003,2026-06-12,13
ACCT000003,2026-06-13,18
ACCT000003,2026-06-14,17
ACCT000003,2026-06-15,18
ACCT000003,2026-06-16,14
ACCT000003,2026-06-17,16
ACCT000003,2026-06-18,14
ACCT000003,2026-06-19,12
ACCT000003,2026-06-20,13
ACCT000003,2026-06-21,19
ACCT000003,2026-06-22,16
ACCT000003,2026-06-23,14
ACCT000003,2026-06-24,13
ACCT000003,2026-06-25,17
ACCT000003,2026-06-26,9
ACCT000003,2026-06-27,13
ACCT000003,2026-06-28,13
ACCT000003,2026-06-29,27
ACCT000004,2026-05-31,24
ACCT000004,2026-06-01,28
ACCT000004,2026-06-02,27
ACCT000004,2026-06-03,31
ACCT000004,2026-06-04,32
ACCT000004,2026-06-05,23
ACCT000004,2026-06-06,36
ACCT000004,2026-06-07,25
ACCT000004,2026-06-08,28
ACCT000004,2026-06-09,24
ACCT000004,2026-06-10,38
ACCT000004,2026-06-11,23
ACCT000004,2026-06-12,23
ACCT000004,2026-06-13,24
ACCT000004,2026-06-14,30
ACCT000004,2026-06-15,25
ACCT000004,2026-06-16,28
ACCT000004,2026-06-17,20
ACCT000004,2026-06-18,25
ACCT000004,2026-06-19,21
ACCT000004,2026-06-20,24
ACCT000004,2026-06-21,32
ACCT000004,2026-06-22,35
ACCT000004,2026-06-23,30
ACCT000004,2026-06-24,25
ACCT000004,2026-06-25,33
ACCT000004,2026-06-26,21
ACCT000004,2026-06-27,27
ACCT000004,2026-06-28,26
ACCT000004,2026-06-29,24
ACCT000005,2026-05-31,10
ACCT000005,2026-06-01,5
ACCT000005,2026-06-02,7
ACCT000005,2026-06-03,7
ACCT000005,2026-06-04,4
ACCT000005,2026-06-05,7
ACCT000005,2026-06-06,3
ACCT000005,2026-06-07,8
ACCT000005,2026-06-08,9
ACCT000005,2026-06-09,3
ACCT000005,2026-06-10,8
ACCT000005,2026-06-11,3
ACCT000005,2026-06-12,3
ACCT000005,2026-06-13,4
ACCT000005,2026-06-14,1
ACCT000005,2026-06-15,2
ACCT000005,2026-06-16,4
ACCT000005,2026-06-17,5
ACCT000005,2026-06-18,4
ACCT000005,2026-06-19,6
ACCT000005,2026-06-20,3
ACCT000005,2026-06-21,6
ACCT000005,2026-06-22,7
ACCT000005,2026-06-23,5
ACCT000005,2026-06-24,3
ACCT000005,2026-06-25,8
ACCT000005,2026-06-26,5
ACCT000005,2026-06-27,4
ACCT000005,2026-06-28,2
ACCT000005,2026-06-29,5
ACCT000006,2026-05-31,16
