device_id,account_id,reading_time,is_online,utilization_pct,downstream_mbps,upstream_mbps,latency_ms
DVC000001,ACCT000001,2026-05-31 12:00:00,True,59.4,158.8,16.6,46.0
DVC000001,ACCT000001,2026-06-01 12:00:00,True,48.0,145.0,20.7,38.7
DVC000001,ACCT000001,2026-06-02 12:00:00,True,49.1,152.8,18.3,46.7
DVC000001,ACCT000001,2026-06-03 12:00:00,True,36.1,136.7,19.5,37.5
DVC000001,ACCT000001,2026-06-04 12:00:00,True,43.5,141.3,13.2,41.5
DVC000001,ACCT000001,2026-06-05 12:00:00,True,57.7,142.0,21.0,51.4
DVC000001,ACCT000001,2026-06-06 12:00:00,True,45.8,135.2,16.4,36.9
DVC000001,ACCT000001,2026-06-07 12:00:00,True,56.1,151.6,15.4,42.1
DVC000001,ACCT000001,2026-06-08 12:00:00,True,46.3,133.8,13.2,38.3
DVC000001,ACCT000001,2026-06-09 12:00:00,True,44.2,154.0,21.4,38.6
DVC000001,ACCT000001,2026-06-10 12:00:00,True,47.1,144.2,11.9,37.1
DVC000001,ACCT000001,2026-06-11 12:00:00,True,55.1,147.4,18.1,45.4
DVC000001,ACCT000001,2026-06-12 12:00:00,True,45.7,136.6,19.7,25.8
DVC000001,ACCT000001,2026-06-13 12:00:00,True,62.4,155.7,22.8,47.2
DVC000001,ACCT000001,2026-06-14 12:00:00,True,52.7,157.3,13.6,35.5
DVC000001,ACCT000001,2026-06-15 12:00:00,True,67.2,163.6,13.2,53.2
DVC000001,ACCT000001,2026-06-16 12:00:00,True,53.8,159.6,15.4,42.5
DVC000001,ACCT000001,2026-06-17 12:00:00,True,44.1,138.1,20.0,29.5
DVC000001,ACCT000001,2026-06-18 12:00:00,True,36.0,131.2,14.0,37.8
DVC000001,ACCT000001,2026-06-19 12:00:00,True,62.9,148.5,16.3,53.3
DVC000001,ACCT000001,2026-06-20 12:00:00,True,53.1,156.4,18.4,38.5
DVC000001,ACCT000001,2026-06-21 12:00:00,True,38.0,131.6,18.7,32.7
DVC000001,ACCT000001,2026-06-22 12:00:00,True,54.2,142.3,19.5,43.2
DVC000001,ACCT000001,2026-06-23 12:00:00,True,55.6,154.2,12.5,45.1
DVC000001,ACCT000001,2026-06-24 12:00:00,True,41.3,142.5,14.7,37.3
DVC000001,ACCT000001,2026-06-25 12:00:00,True,35.9,136.8,18.2,30.7
DVC000001,ACCT000001,2026-06-26 12:00:00,True,58.6,149.9,16.9,38.0
DVC000001,ACCT000001,2026-06-27 12:00:00,True,60.0,149.0,20.3,43.9
DVC000001,ACCT000001,2026-06-28 12:00:00,True,48.8,137.8,11.0,40.7
DVC000001,ACCT000001,2026-06-29 12:00:00,True,51.9,159.9,18.8,37.6
DVC000002,ACCT000002,2026-05-31 12:00:00,True,36.6,131.6,12.9,34.6
DVC000002,ACCT000002,2026-06-01 12:00:00,True,41.5,147.0,14.1,35.3
DVC000002,ACCT000002,2026-06-02 12:00:00,True,44.2,141.6,12.0,37.3
DVC000002,ACCT000002,2026-06-03 12:00:00,True,38.8,150.1,20.6,32.5
DVC000002,ACCT000002,2026-06-04 12:00:00,True,41.3,136.2,11.2,45.0
DVC000002,ACCT000002,2026-06-05 12:00:00,True,41.5,135.3,13.9,33.7
DVC000002,ACCT000002,2026-06-06 12:00:00,True,22.5,128.1,13.6,12.7
DVC000002,ACCT000002,2026-06-07 12:00:00,True,43.4,153.9,13.0,32.1
DVC000002,ACCT000002,2026-06-08 12:00:00,True,48.7,144.1,17.0,40.6
DVC000002,ACCT000002,2026-06-09 12:00:00,True,45.1,144.2,14.1,40.5
DVC000002,ACCT000002,2026-06-10 12:00:00,True,53.0,150.4,20.9,47.2
DVC000002,ACCT000002,2026-06-11 12:00:00,True,54.6,142.1,11.9,33.0
DVC000002,ACCT000002,2026-06-12 12:00:00,True,36.0,134.0,15.5,42.0
DVC000002,ACCT000002,2026-06-13 12:00:00,True,32.0,134.5,14.9,27.4
DVC000002,ACCT000002,2026-06-14 12:00:00,True,49.3,158.0,15.8,37.7
DVC000002,ACCT000002,2026-06-15 12:00:00,True,46.2,153.2,15.7,39.2
DVC000002,ACCT000002,2026-06-16 12:00:00,True,34.3,127.2,12.8,31.5
DVC000002,ACCT000002,2026-06-17 12:00:00,True,33.8,137.4,15.7,38.0
DVC000002,ACCT000002,2026-06-18 12:00:00,True,51.3,155.7,13.8,40.4
DVC000002,ACCT000002,2026-06-19 12:00:00,True,46.6,139.9,16.5,40.2
DVC000002,ACCT000002,2026-06-20 12:00:00,True,27.5,120.8,10.1,29.2
DVC000002,ACCT000002,2026-06-21 12:00:00,True,50.3,145.9,14.2,36.6
DVC000002,ACCT000002,2026-06-22 12:00:00,True,38.1,129.6,14.1,31.9
DVC000002,ACCT000002,2026-06-23 12:00:00,False,0.0,0.0,0.0,0.0
DVC000002,ACCT000002,2026-06-24 12:00:00,True,27.3,125.0,17.3,26.2
DVC000002,ACCT000002,2026-06-25 12:00:00,True,33.1,131.7,18.9,31.5
DVC000002,ACCT000002,2026-06-26 12:00:00,True,36.1,127.4,17.8,39.8
DVC000002,ACCT000002,2026-06-27 12:00:00,True,54.9,151.4,18.9,41.7
DVC000002,ACCT000002,2026-06-28 12:00:00,True,46.6,143.8,18.0,35.6
DVC000002,ACCT000002,2026-06-29 12:00:00,True,35.8,144.0,17.6,34.2
DVC000003,ACCT000003,2026-05-31 12:00:00,True,71.9,265.4,38.9,55.3
DVC000003,ACCT000003,2026-06-01 12:00:00,True,55.6,228.6,26.3,41.4
DVC000003,ACCT000003,2026-06-02 12:00:00,True,60.9,247.4,23.3,48.3
DVC000003,ACCT000003,2026-06-03 12:00:00,True,63.4,250.1,28.6,47.7
DVC000003,ACCT000003,2026-06-04 12:00:00,True,59.7,229.7,21.9,56.3
DVC000003,ACCT000003,2026-06-05 12:00:00,True,76.4,255.8,31.6,60.8
DVC000003,ACCT000003,2026-06-06 12:00:00,True,53.1,239.9,30.9,39.0
DVC000003,ACCT000003,2026-06-07 12:00:00,True,46.5,206.2,28.1,35.6
DVC000003,ACCT000003,2026-06-08 12:00:00,True,54.0,231.6,32.5,32.2
DVC000003,ACCT000003,2026-06-09 12:00:00,True,46.8,215.8,32.2,42.6
DVC000003,ACCT000003,2026-06-10 12:00:00,True,61.5,246.6,22.8,50.8
DVC000003,ACCT000003,2026-06-11 12:00:00,True,54.1,244.5,22.2,50.9
DVC000003,ACCT000003,2026-06-12 12:00:00,True,51.8,232.2,28.6,43.3
DVC000003,ACCT000003,2026-06-13 12:00:00,True,60.5,228.9,22.4,52.8
DVC000003,ACCT000003,2026-06-14 12:00:00,True,66.2,253.0,23.3,53.1
DVC000003,ACCT000003,2026-06-15 12:00:00,True,59.6,220.0,19.8,47.1
DVC000003,ACCT000003,2026-06-16 12:00:00,True,63.5,220.8,22.5,50.1
DVC000003,ACCT000003,2026-06-17 12:00:00,True,40.1,213.3,25.5,34.8
DVC000003,ACCT000003,2026-06-18 12:00:00,True,57.2,212.0,17.7,47.5
DVC000003,ACCT000003,2026-06-19 12:00:00,True,49.0,217.6,24.6,44.3
DVC000003,ACCT000003,2026-06-20 12:00:00,True,58.2,241.2,27.8,45.8
DVC000003,ACCT000003,2026-06-21 12:00:00,True,66.3,246.2,33.3,48.3
DVC000003,ACCT000003,2026-06-22 12:00:00,True,63.4,255.6,31.0,57.4
DVC000003,ACCT000003,2026-06-23 12:00:00,True,58.7,225.0,27.1,41.6
DVC000003,ACCT000003,2026-06-24 12:00:00,True,50.6,239.2,20.7,34.8
DVC000003,ACCT000003,2026-06-25 12:00:00,True,40.0,197.5,19.2,37.4
DVC000003,ACCT000003,2026-06-26 12:00:00,True,46.3,217.7,19.5,39.9
DVC000003,ACCT000003,2026-06-27 12:00:00,True,39.2,194.3,24.1,33.7
DVC000003,ACCT000003,2026-06-28 12:00:00,True,53.1,234.0,32.9,42.3
DVC000003,ACCT000003,2026-06-29 12:00:00,True,44.1,225.3,26.2,38.2
DVC000004,ACCT000004,2026-05-31 12:00:00,True,45.3,152.3,19.9,43.1
DVC000004,ACCT000004,2026-06-01 12:00:00,True,55.6,142.1,12.1,47.0
DVC000004,ACCT000004,2026-06-02 12:00:00,True,34.2,145.7,12.9,25.4
DVC000004,ACCT000004,2026-06-03 12:00:00,True,54.4,159.8,22.5,49.1
DVC000004,ACCT000004,2026-06-04 12:00:00,True,50.2,151.7,21.9,32.1
DVC000004,ACCT000004,2026-06-05 12:00:00,True,56.1,143.7,19.0,45.8
DVC000004,ACCT000004,2026-06-06 12:00:00,True,55.1,158.6,15.6,45.3
DVC000004,ACCT000004,2026-06-07 12:00:00,True,43.5,146.2,19.1,43.3
