session_id,customer_id,session_start,session_end,duration_seconds,device_type,browser,os,entry_page,exit_page,page_views,referrer,authenticated,converted
WSN000000000001,CUST000008,2026-06-03 14:48:00,2026-06-03 14:51:52,232.8,Desktop,Chrome,Windows,/home,/home,7,Direct,False,False
WSN000000000002,CUST000008,2026-06-18 09:02:00,2026-06-18 09:02:35,35.7,Mobile,Chrome,Android,/account,/account,1,Direct,True,True
WSN000000000003,CUST000008,2026-06-12 19:58:00,2026-06-12 20:02:41,281.1,Desktop,Chrome,Windows,/support,/account,11,Search,True,False
WSN000000000004,CUST000009,2026-06-06 08:57:00,2026-06-06 08:59:05,125.4,Desktop,Edge,Windows,/billing,/upgrade,4,Direct,True,False
WSN000000000005,CUST000009,2026-06-11 01:11:00,2026-06-11 01:13:13,133.2,Mobile,Chrome,Android,/outage-status,/plans,3,Search,False,False
WSN000000000006,CUST000009,2026-06-06 12:10:00,2026-06-06 12:14:08,248.1,Desktop,Safari,macOS,/billing,/upgrade,7,Direct,False,False
WSN000000000007,CUST000009,2026-06-22 21:32:00,2026-06-22 21:32:34,34.4,Desktop,Chrome,Windows,/support,/support,1,Direct,True,True
WSN000000000008,CUST000009,2026-06-29 15:28:00,2026-06-29 15:29:38,98.9,Desktop,Edge,Windows,/account,/home,5,Search,True,False
WSN000000000009,CUST000009,2026-06-17 16:41:00,2026-06-17 16:43:06,126.0,Desktop,Chrome,macOS,/home,/upgrade,5,Direct,True,False
WSN000000000010,CUST000010,2026-06-20 18:46:00,2026-06-20 18:47:34,94.3,Desktop,Safari,macOS,/support,/plans,3,Email,False,False
WSN000000000011,CUST000010,2026-06-29 18:58:00,2026-06-29 19:01:00,180.2,Desktop,Chrome,Windows,/support,/upgrade,6,Direct,False,False
WSN000000000012,CUST000015,2026-06-14 09:19:00,2026-06-14 09:23:51,291.0,Desktop,Chrome,Windows,/outage-status,/account,8,Email,False,False
WSN000000000013,CUST000015,2026-06-05 14:06:00,2026-06-05 14:07:23,83.5,Mobile,Safari,iOS,/account,/billing,5,Search,True,False
WSN000000000014,CUST000015,2026-06-15 07:02:00,2026-06-15 07:05:13,193.5,Tablet,Chrome,Android,/plans,/outage-status,8,Search,False,False
WSN000000000015,CUST000017,2026-06-16 22:51:00,2026-06-16 22:53:59,179.4,Desktop,Edge,Windows,/support,/home,6,Direct,True,False
WSN000000000016,CUST000017,2026-06-28 14:30:00,2026-06-28 14:31:15,75.2,Mobile,Chrome,Android,/upgrade,/billing,5,Direct,True,False
WSN000000000017,CUST000017,2026-06-25 11:24:00,2026-06-25 11:24:33,33.0,Mobile,Chrome,iOS,/upgrade,/account,2,Direct,True,False
WSN000000000018,CUST000017,2026-06-23 05:34:00,2026-06-23 05:36:07,127.1,Mobile,Chrome,Android,/account,/plans,7,Direct,True,True
WSN000000000019,CUST000017,2026-06-28 07:59:00,2026-06-28 08:03:12,252.7,Mobile,Chrome,Android,/billing,/support,6,Direct,True,False
WSN000000000020,CUST000017,2026-06-21 17:03:00,2026-06-21 17:04:20,80.1,Tablet,Safari,iOS,/plans,/plans,3,Direct,True,False
WSN000000000021,CUST000017,2026-06-25 12:17:00,2026-06-25 12:18:57,117.1,Desktop,Safari,macOS,/outage-status,/plans,5,Direct,True,False
WSN000000000022,CUST000019,2026-06-05 11:24:00,2026-06-05 11:27:00,180.4,Desktop,Firefox,Windows,/home,/plans,5,Search,False,False
WSN000000000023,CUST000019,2026-06-11 19:32:00,2026-06-11 19:38:38,398.9,Mobile,Safari,iOS,/upgrade,/outage-status,10,Search,False,False
WSN000000000024,CUST000019,2026-06-04 05:46:00,2026-06-04 05:46:37,37.3,Mobile,Chrome,Android,/support,/outage-status,2,Social,False,False
WSN000000000025,CUST000019,2026-06-27 12:03:00,2026-06-27 12:04:24,84.6,Mobile,Chrome,Android,/support,/plans,2,Direct,False,False
WSN000000000026,CUST000019,2026-06-26 19:16:00,2026-06-26 19:18:51,171.1,Mobile,Safari,iOS,/home,/billing,6,Ad,False,False
WSN000000000027,CUST000019,2026-06-24 14:19:00,2026-06-24 14:19:57,57.9,Desktop,Edge,Windows,/upgrade,/plans,4,Direct,True,True
WSN000000000028,CUST000019,2026-06-19 18:42:00,2026-06-19 18:47:40,340.9,Mobile,Chrome,iOS,/billing,/support,11,Social,False,False
WSN000000000029,CUST000023,2026-06-15 11:58:00,2026-06-15 12:00:25,145.9,Mobile,Safari,iOS,/upgrade,/outage-status,8,Direct,True,True
